               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12851,            0.031958,                   0,          0.00015504,            0.017857,          8.1119e-05,          1.2228e-05,             0.12057,            0.024948,                   0,               0.091,               0.001,               0.001
                   1,             0.11993,            0.028612,                   0,           0.0003876,            0.044643,          0.00022987,          3.5838e-05,             0.11266,            0.023941,                   0,            0.081079,           0.0020792,           0.0020792
                   2,             0.11475,            0.027375,                   0,          0.00031008,            0.035714,          0.00022661,          3.1457e-05,              0.1052,            0.023443,                   0,            0.071137,           0.0031366,           0.0031366
                   3,             0.10703,            0.027504,                   0,           0.0029457,             0.33929,           0.0055381,           0.0010169,            0.099143,            0.022222,                   0,            0.061172,           0.0041723,           0.0041723
                   4,             0.10231,            0.025264,                   0,            0.084247,            0.098214,            0.056417,           0.0096985,            0.096477,            0.018986,                   0,            0.051186,           0.0051862,           0.0051862
                   5,             0.09769,            0.022114,                   0,            0.032865,             0.24107,            0.018881,           0.0036223,             0.11018,            0.015432,                   0,            0.041178,           0.0061782,           0.0061782
                   6,             0.09704,            0.020502,                   0,             0.14219,             0.23214,            0.097509,            0.016188,             0.11375,            0.017121,                   0,            0.031149,           0.0071486,           0.0071486
                   7,              0.0947,            0.019223,                   0,            0.094902,             0.21429,            0.051223,            0.012043,            0.098824,             0.01514,                   0,            0.021097,           0.0080971,           0.0080971
                   8,            0.091766,            0.018562,                   0,             0.15345,             0.13393,            0.089182,            0.019135,             0.10451,            0.012818,                   0,            0.011024,           0.0090238,           0.0090238
                   9,            0.083694,            0.018098,                   0,            0.088982,             0.42857,            0.066073,            0.014057,             0.09076,            0.016151,                   0,            0.009109,            0.009109,            0.009109
                  10,            0.080984,             0.01916,                   0,            0.045907,             0.15179,            0.025709,           0.0060687,            0.089628,            0.014587,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.081073,            0.018897,                   0,              0.2273,             0.41071,              0.2056,            0.054492,            0.079999,            0.014969,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.077133,            0.018908,                   0,             0.27105,             0.38393,             0.22283,            0.046207,            0.082292,            0.014679,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.076432,            0.018769,                   0,             0.13371,             0.40179,            0.089973,            0.019075,             0.08755,            0.012843,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.068827,            0.017703,                   0,             0.32033,             0.50893,             0.32044,            0.082377,            0.068354,             0.01552,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.066624,            0.018576,                   0,             0.31945,             0.53571,             0.31451,            0.084195,            0.068563,            0.015121,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.063992,            0.019541,                   0,             0.45442,             0.55357,             0.42019,             0.11978,            0.069505,            0.014225,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.064122,            0.016912,                   0,             0.45843,             0.61607,             0.43421,             0.13602,            0.064835,            0.014555,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.065309,            0.017528,                   0,             0.39871,             0.61607,             0.41799,             0.10968,            0.063661,            0.013945,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.065295,            0.016408,                   0,             0.64398,             0.65179,             0.57749,             0.16732,            0.055891,            0.014175,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.061319,            0.016125,                   0,             0.47437,             0.65179,              0.4663,             0.13076,            0.061762,             0.01347,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.058955,            0.016455,                   0,             0.68345,             0.69401,              0.6636,             0.21299,            0.055546,            0.013751,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.059925,            0.015174,                   0,             0.72149,             0.61607,             0.63445,             0.19871,             0.05423,            0.013689,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.055134,            0.016909,                   0,             0.67207,             0.69643,             0.61597,             0.16792,             0.05591,            0.013818,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.057222,            0.015406,                   0,             0.72048,             0.66964,             0.65289,             0.19104,            0.058425,             0.01369,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.056662,            0.015412,                   0,             0.75874,              0.7301,             0.73142,             0.22757,              0.0545,            0.013472,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.055733,            0.015417,                   0,             0.43123,             0.59821,             0.43028,              0.1415,             0.05893,            0.013908,                   0,            0.007525,            0.007525,            0.007525
