               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12746,             0.02634,                   0,          0.00023256,            0.026786,          0.00012125,          2.0055e-05,             0.11839,            0.021051,                   0,               0.091,               0.001,               0.001
                   1,              0.1177,            0.026765,                   0,          0.00054264,              0.0625,          0.00047499,          9.1445e-05,              0.1085,             0.02239,                   0,            0.081079,           0.0020792,           0.0020792
                   2,             0.11173,            0.026967,                   0,           0.0066668,             0.21429,           0.0086318,           0.0012914,             0.10401,            0.021828,                   0,            0.071137,           0.0031366,           0.0031366
                   3,             0.10505,            0.025995,                   0,             0.13452,             0.16964,            0.057521,            0.010744,            0.098807,             0.01975,                   0,            0.061172,           0.0041723,           0.0041723
                   4,            0.099421,            0.022747,                   0,             0.27935,             0.25893,              0.1655,            0.032215,            0.094934,            0.019835,                   0,            0.051186,           0.0051862,           0.0051862
                   5,            0.097123,            0.019502,                   0,             0.16007,             0.21429,             0.10264,            0.020425,            0.093075,            0.017631,                   0,            0.041178,           0.0061782,           0.0061782
                   6,            0.095149,            0.020426,                   0,             0.10578,             0.27779,            0.083491,            0.017796,            0.098585,            0.014271,                   0,            0.031149,           0.0071486,           0.0071486
                   7,            0.088836,            0.020032,                   0,             0.20182,             0.24107,             0.11261,            0.025843,            0.085488,            0.017362,                   0,            0.021097,           0.0080971,           0.0080971
                   8,            0.084156,            0.019487,                   0,             0.22487,             0.41964,              0.2043,            0.058847,            0.080004,            0.018043,                   0,            0.011024,           0.0090238,           0.0090238
                   9,            0.080706,            0.017549,                   0,            0.063797,                0.25,             0.04557,            0.010604,            0.092034,            0.017171,                   0,            0.009109,            0.009109,            0.009109
                  10,            0.080339,            0.018665,                   0,            0.090172,             0.24107,            0.059905,             0.01161,             0.08277,            0.015544,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.078488,            0.020449,                   0,             0.32279,             0.47321,             0.27581,             0.07517,            0.065618,            0.018908,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.071172,            0.019317,                   0,             0.40688,             0.46429,             0.35454,            0.095781,            0.069077,            0.019272,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.069869,             0.01951,                   0,             0.25354,             0.46429,             0.22501,            0.059505,            0.068557,            0.017188,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.066468,            0.017738,                   0,             0.41692,             0.55357,             0.34415,            0.074673,            0.070517,             0.01875,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.065284,            0.017859,                   0,             0.50646,             0.42857,             0.36145,              0.1072,            0.072892,            0.014979,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.065616,            0.018912,                   0,             0.41216,             0.45701,             0.36302,             0.10576,            0.069734,            0.014685,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.062697,            0.016495,                   0,             0.53816,             0.63393,             0.52535,             0.18594,            0.061349,            0.014146,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.060596,            0.017005,                   0,             0.62449,             0.70536,             0.62876,             0.18769,            0.060663,            0.014016,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.061084,            0.015785,                   0,             0.49767,              0.5625,             0.39616,             0.11135,            0.064248,            0.014276,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.058233,            0.015731,                   0,             0.42236,             0.54464,             0.38082,             0.12569,            0.060604,            0.015072,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.057832,            0.015727,                   0,             0.69923,             0.58122,             0.58415,             0.20347,              0.0539,            0.013508,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.055763,            0.014519,                   0,             0.82816,             0.74107,             0.74595,             0.27373,            0.052246,            0.013755,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.055042,             0.01584,                   0,             0.47102,             0.44522,             0.37228,             0.10274,            0.060055,            0.013979,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.055326,            0.014616,                   0,             0.81374,             0.69643,             0.71683,               0.254,            0.054241,             0.01329,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.051997,            0.014734,                   0,             0.85835,             0.70338,             0.76897,             0.25245,            0.050845,            0.013429,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.052639,            0.014422,                   0,              0.7393,               0.625,             0.65044,             0.21988,            0.053305,            0.012727,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.053545,            0.013731,                   0,             0.84494,                0.75,             0.78751,             0.25573,            0.052272,            0.012531,                   0,            0.007426,            0.007426,            0.007426
                  28,             0.05233,            0.014355,                   0,             0.88863,             0.74107,             0.79318,             0.24223,            0.052652,             0.01268,                   0,            0.007327,            0.007327,            0.007327
                  29,             0.05097,            0.013198,                   0,             0.84934,             0.80538,             0.85487,             0.34542,            0.045525,            0.012705,                   0,            0.007228,            0.007228,            0.007228
                  30,            0.050842,            0.014258,                   0,             0.85209,             0.66869,             0.73613,             0.24021,             0.04954,            0.012426,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.049556,            0.013923,                   0,             0.82807,             0.77405,             0.78107,              0.2543,             0.04844,            0.012578,                   0,             0.00703,             0.00703,             0.00703
                  32,            0.051793,            0.014525,                   0,             0.91627,             0.78165,             0.84324,             0.29033,            0.047088,            0.012521,                   0,            0.006931,            0.006931,            0.006931
                  33,            0.049235,             0.01298,                   0,             0.86302,             0.73128,             0.78647,             0.26763,            0.047952,            0.012468,                   0,            0.006832,            0.006832,            0.006832
                  34,            0.047229,             0.01441,                   0,             0.85744,             0.80556,              0.8384,             0.33558,            0.047549,            0.012185,                   0,            0.006733,            0.006733,            0.006733
                  35,            0.047001,            0.013936,                   0,             0.91894,             0.80357,             0.86441,             0.33224,            0.048163,            0.012064,                   0,            0.006634,            0.006634,            0.006634
                  36,            0.047885,            0.014095,                   0,             0.90738,             0.75893,             0.83449,             0.30583,            0.045705,            0.012263,                   0,            0.006535,            0.006535,            0.006535
                  37,            0.047366,            0.013291,                   0,             0.90141,             0.79464,             0.81166,             0.31387,            0.045261,            0.012399,                   0,            0.006436,            0.006436,            0.006436
                  38,             0.04488,            0.013452,                   0,             0.84456,             0.71429,             0.73078,             0.24993,            0.050761,            0.012174,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.045215,            0.014026,                   0,              0.8935,              0.7491,             0.84424,              0.3025,            0.047282,            0.011965,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.047619,            0.013468,                   0,             0.85514,             0.73791,              0.8109,             0.30105,            0.045762,            0.011971,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.048401,            0.012835,                   0,             0.89461,               0.875,             0.88953,             0.34439,            0.044867,            0.012011,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.042763,            0.013404,                   0,             0.85296,             0.83036,             0.82415,             0.32203,            0.044371,            0.012189,                   0,            0.005941,            0.005941,            0.005941
